iter	MultiClass
0	1.090538178
1	1.08307334
2	1.075980813
3	1.06934895
4	1.063308071
5	1.05763771
6	1.052144466
7	1.046767811
8	1.041879606
9	1.037269348
10	1.032876205
11	1.028692588
12	1.024782252
13	1.021016756
14	1.017607848
15	1.014284273
16	1.011335881
17	1.008445229
18	1.005708881
19	1.003150346
20	1.000636218
21	0.9982813437
22	0.9959634735
23	0.9939222188
24	0.991950863
25	0.9898833677
26	0.9880815714
27	0.9863085356
28	0.9847991917
29	0.9832317372
30	0.9817197496
31	0.9802589595
32	0.9788142858
33	0.9773721868
34	0.9759860907
35	0.974757342
36	0.9736011942
37	0.9725252689
38	0.9713720361
39	0.9702994104
40	0.9692259146
41	0.9684286619
42	0.9675720173
43	0.9666574259
44	0.965762511
45	0.9650264538
46	0.964162114
47	0.9634787171
48	0.9628359739
49	0.9621791203
50	0.961424366
51	0.9607776991
52	0.9602776333
53	0.9597327411
54	0.9591393194
55	0.9585546755
56	0.9580872175
57	0.9574856276
58	0.9569972648
59	0.9565968422
60	0.9561278889
61	0.9556303604
62	0.9551535014
63	0.9547024945
64	0.9542475813
65	0.953879546
66	0.9534943204
67	0.9530973296
68	0.9527411976
69	0.9524198451
70	0.9520658067
71	0.951704606
72	0.9513911151
73	0.9510980616
74	0.9507258535
75	0.9504314086
76	0.9500667
77	0.9497751495
78	0.9494801054
79	0.949175505
80	0.9488951283
81	0.9486527713
82	0.9483808731
83	0.9480812802
84	0.9477712426
85	0.947538698
86	0.9473327736
87	0.9470738859
88	0.9467928491
89	0.9465254646
90	0.9462801156
91	0.9460223737
92	0.9457833813
93	0.9455113204
94	0.9453144045
95	0.945098787
96	0.9448377557
97	0.9445424321
98	0.9443118491
99	0.9440813647
100	0.94389354
101	0.9436926127
102	0.9435247139
103	0.9433630167
104	0.943226258
105	0.9430942226
106	0.9428632209
107	0.9426697556
108	0.9424955273
109	0.9422046177
110	0.9420346174
111	0.9418526155
112	0.9416366988
113	0.9414645419
114	0.9413218653
115	0.9411559299
116	0.9410078889
117	0.9408106307
118	0.9406088903
119	0.9403516249
120	0.940215428
121	0.940082035
122	0.939900184
123	0.9397583268
124	0.9396178974
125	0.9394490851
126	0.9392968907
127	0.9391619962
128	0.9389521391
129	0.9388039976
130	0.9386469078
131	0.9385202209
132	0.9383867343
133	0.9381757017
134	0.9380158832
135	0.93785725
136	0.9377194672
137	0.9376255855
138	0.9374247803
139	0.9372847445
140	0.9371508689
141	0.9370403129
142	0.9369429065
143	0.9368713203
144	0.9367201031
145	0.9365539154
146	0.9363510502
147	0.9362703429
148	0.9361379917
149	0.9359327931
150	0.9357893567
151	0.9356892726
152	0.9355705613
153	0.9354820652
154	0.9352560351
155	0.935107361
156	0.9349997311
157	0.9348913622
158	0.9347605683
159	0.934582873
160	0.9344336341
161	0.9342768087
162	0.9341199141
163	0.9340006611
164	0.9339226969
165	0.9338001488
166	0.9337173664
167	0.9335802136
168	0.933418584
169	0.9333058516
170	0.9331661723
171	0.9330791923
172	0.9329678889
173	0.9328392109
174	0.9327273873
175	0.9325906853
176	0.932422176
177	0.9322901165
178	0.9321598442
179	0.9319671615
180	0.9317789595
181	0.9315795867
182	0.9314377932
183	0.9313133702
184	0.9311784109
185	0.9310622702
186	0.9308878382
187	0.930791789
188	0.9306577359
189	0.930551548
190	0.9303849465
191	0.930269044
192	0.9300843328
193	0.9299641337
194	0.9297467055
195	0.929562186
196	0.9294440547
197	0.9293097545
198	0.9291702044
199	0.9290345764
200	0.9289223981
201	0.9287984723
202	0.9287038331
203	0.9285844118
204	0.9283759328
205	0.9282450377
206	0.9281560278
207	0.9280389587
208	0.9278966123
209	0.9277443615
210	0.9276259812
211	0.9275176563
212	0.9274186084
213	0.9273256601
214	0.9271791809
215	0.926977081
216	0.9268748381
217	0.9267429577
218	0.9266204077
219	0.9264847564
220	0.9263531643
221	0.9262813759
222	0.9261388311
223	0.9260217419
224	0.925915324
225	0.925807866
226	0.9257116175
227	0.9255778399
228	0.9253872247
229	0.9252464137
230	0.9250985937
231	0.9249362999
232	0.9248422455
233	0.9247566549
234	0.9246323129
235	0.9245506825
236	0.924466032
237	0.9243467396
238	0.9241181978
239	0.9239806383
240	0.9238441877
241	0.9236976121
242	0.9235777155
243	0.9234590828
244	0.9233483016
245	0.92319959
246	0.9231180908
247	0.9230017901
248	0.9228817334
249	0.9227789439
250	0.9226550934
251	0.9225823522
252	0.9224236411
253	0.92229122
254	0.9221710659
255	0.9220382603
256	0.9219011183
257	0.9217980331
258	0.9216038782
259	0.9214730362
260	0.921366718
261	0.9212502767
262	0.9211910159
263	0.9210734081
264	0.9209257631
265	0.9208367312
266	0.9206750642
267	0.9205459372
268	0.9204506555
269	0.9204044112
270	0.9203004633
271	0.9202018847
272	0.9200975472
273	0.9199781484
274	0.9198205166
275	0.9197075479
276	0.9195959364
277	0.9194646138
278	0.9193098522
279	0.9192138224
280	0.9191382389
281	0.9189543695
282	0.9188049179
283	0.9186962769
284	0.9185649413
285	0.9184117981
286	0.9182837397
287	0.918151802
288	0.9180826035
289	0.9179830336
290	0.9178800484
291	0.9177476071
292	0.91757098
293	0.9174355223
294	0.9173364116
295	0.9172478515
296	0.9171857623
297	0.9171063875
298	0.9169765353
299	0.9168159675
300	0.9167159579
301	0.9165992514
302	0.916500929
303	0.9163283721
304	0.9162389172
305	0.9161221556
306	0.9160024822
307	0.9159117973
308	0.9157781653
309	0.915657221
310	0.9155566047
311	0.9154587684
312	0.9152724749
313	0.9151680496
314	0.9150044579
315	0.914916591
316	0.9148308237
317	0.9147118931
318	0.9145224744
319	0.9144478374
320	0.914361819
321	0.9142097941
322	0.9140548795
323	0.9139027935
324	0.9137991067
325	0.9137308883
326	0.9135743321
327	0.9133664941
328	0.9132495216
329	0.9130692163
330	0.9129318323
331	0.9128304313
332	0.9126979802
333	0.9125842232
334	0.9125197779
335	0.9123891454
336	0.9122813897
337	0.9121243378
338	0.9120753283
339	0.9119163553
340	0.9117676711
341	0.911689607
342	0.9116112399
343	0.9114786767
344	0.9112913212
345	0.9111573491
346	0.9110468155
347	0.9109063059
348	0.9108361666
349	0.9107120075
350	0.910620721
351	0.9105251317
352	0.9103370135
353	0.9102301377
354	0.9100862827
355	0.9099783741
356	0.9098572279
357	0.9097272702
358	0.9096057209
359	0.9094348862
360	0.9092853181
361	0.9091273023
362	0.9090274052
363	0.908904868
364	0.9087551232
365	0.9086500339
366	0.9085727777
367	0.9084315148
368	0.9083175815
369	0.9080834819
370	0.9078990729
371	0.9077614233
372	0.9076745294
373	0.9074725459
374	0.9072442089
375	0.9070345916
376	0.9068211011
377	0.9066788595
378	0.9064960394
379	0.9063606476
380	0.9061459258
381	0.9060296465
382	0.9058239026
383	0.9056539525
384	0.9054273784
385	0.9053023662
386	0.9051415577
387	0.9049533346
388	0.9048270105
389	0.904655241
390	0.9044470826
391	0.9043107635
392	0.9041655992
393	0.9040162238
394	0.9038754271
395	0.9036836151
396	0.9036400871
397	0.9035366597
398	0.9033672749
399	0.9032611651
400	0.9030682696
401	0.9029312881
402	0.9027792215
403	0.9026668086
404	0.9025737069
405	0.9023968554
406	0.9023040591
407	0.9021257859
408	0.9019031517
409	0.9017956692
410	0.9016674406
411	0.9015693126
412	0.9014505832
413	0.9012855155
414	0.9010998417
415	0.9009345215
416	0.9007452672
417	0.9005256452
418	0.9003515736
419	0.900223969
420	0.9001526483
421	0.8999763119
422	0.8998492565
423	0.8996789533
424	0.8994716906
425	0.899320393
426	0.8991801784
427	0.899014843
428	0.8989182907
429	0.8988052981
430	0.898651201
431	0.8984933056
432	0.8983661707
433	0.8982077083
434	0.8980892726
435	0.897956631
436	0.8978301659
437	0.8975713928
438	0.8974728428
439	0.8973259336
440	0.8971902801
441	0.8970848304
442	0.8969497235
443	0.8967519617
444	0.8966082872
445	0.8964414239
446	0.8962027069
447	0.8960735864
448	0.8959737043
449	0.8958405877
450	0.8957047296
451	0.8955163282
452	0.8953077602
453	0.89512728
454	0.8950186152
455	0.8949396137
456	0.8948271671
457	0.8946461425
458	0.8945280516
459	0.8943854837
460	0.8942998261
461	0.8941438994
462	0.8940189207
463	0.8939128061
464	0.8937149631
465	0.8935799478
466	0.8934525365
467	0.8932926777
468	0.8931289306
469	0.8929582839
470	0.8928324887
471	0.8926992269
472	0.8925704429
473	0.8924266088
474	0.8923098896
475	0.8921182119
476	0.8919661159
477	0.8918520071
478	0.8917591066
479	0.8915899477
480	0.8914905399
481	0.8913777534
482	0.8912201908
483	0.891097637
484	0.8910121223
485	0.8909176321
486	0.8908121032
487	0.8906794541
488	0.8905386746
489	0.8903984192
490	0.8903520374
491	0.8902336348
492	0.8901389844
493	0.8900220323
494	0.8898115593
495	0.8896911842
496	0.8895934379
497	0.8894797902
498	0.8893497048
499	0.8891691769
500	0.8890097627
501	0.888873251
502	0.8887787094
503	0.8886366769
504	0.8885549326
505	0.8884345304
506	0.8882880119
507	0.8881755352
508	0.888058218
509	0.8879242472
510	0.8878079413
511	0.8876661608
512	0.8875621749
513	0.8874443556
514	0.8873081661
515	0.8871946076
516	0.8870838947
517	0.8869198032
518	0.8867430125
519	0.8866524713
520	0.8864754349
521	0.8863371583
522	0.8862658519
523	0.8861707568
524	0.8860392207
525	0.8859095095
526	0.8857785858
527	0.8856408954
528	0.8855262704
529	0.8853911457
530	0.8852231354
531	0.8850501124
532	0.8849675226
533	0.8847979827
534	0.8846137657
535	0.8844337739
536	0.884348333
537	0.8842288748
538	0.8840709636
539	0.8839432182
540	0.8838675702
541	0.8837266446
542	0.8835497949
543	0.8833688811
544	0.8832526194
545	0.8830739549
546	0.882977749
547	0.882869412
548	0.8827810141
549	0.8826860776
550	0.8825989095
551	0.882443699
552	0.8823351334
553	0.8822326755
554	0.8820955015
555	0.8820025652
556	0.8818759543
557	0.881753566
558	0.8816691863
559	0.8815141523
560	0.8814200573
561	0.8813704119
562	0.8812588002
563	0.8810973613
564	0.8809931724
565	0.880889495
566	0.880755958
567	0.8805744752
568	0.8804334568
569	0.8803422606
570	0.8802252255
571	0.8801100142
572	0.8799825724
573	0.879870709
574	0.8797672565
575	0.8796465131
576	0.8795572525
577	0.8794138678
578	0.8792728992
579	0.879146847
580	0.8790322749
581	0.8788965705
582	0.8787055739
583	0.8786157541
584	0.8784939918
585	0.8784328394
586	0.8782788426
587	0.8781999034
588	0.8779963641
589	0.8779300839
590	0.8777072442
591	0.8775822938
592	0.8774610977
593	0.8773612359
594	0.8772114768
595	0.8771055807
596	0.8770105097
597	0.876843895
598	0.8767019547
599	0.8765544076
600	0.8764032811
601	0.8762985891
602	0.8761808221
603	0.8760440492
604	0.8759433821
605	0.8757367064
606	0.8756167709
607	0.8755456581
608	0.8754467703
609	0.8753291121
610	0.875269687
611	0.8751282624
612	0.875024394
613	0.8749099011
614	0.8747988945
615	0.87464629
616	0.8745029211
617	0.8744032688
618	0.8742501435
619	0.87415409
620	0.8740699807
621	0.8738819603
622	0.8737513919
623	0.8736193066
624	0.8735154621
625	0.8733854553
626	0.8732554768
627	0.8731335611
628	0.8730378085
629	0.8728955524
630	0.8727850866
631	0.8726649426
632	0.8725979684
633	0.8724820863
634	0.8723593787
635	0.8721809241
636	0.8719955055
637	0.8718894898
638	0.8718242072
639	0.8716802489
640	0.8715902797
641	0.8714455887
642	0.8713471179
643	0.8712514309
644	0.8711332641
645	0.8710294768
646	0.8709188784
647	0.8707304413
648	0.8706236513
649	0.870549472
650	0.8703490014
651	0.8702297624
652	0.8701376247
653	0.8700047558
654	0.8698820188
655	0.8697502017
656	0.8696621733
657	0.8695311426
658	0.8693805761
659	0.8692805902
660	0.8691231564
661	0.8689896223
662	0.8689204469
663	0.8687814781
664	0.8686300896
665	0.8684644306
666	0.8683835678
667	0.8682386623
668	0.8681365798
669	0.8680286971
670	0.8679215641
671	0.8678306018
672	0.8677446183
673	0.8676210083
674	0.8674468877
675	0.8673456816
676	0.8672084474
677	0.86705302
678	0.8669179651
679	0.8667951121
680	0.8667482519
681	0.8666348304
682	0.8665313361
683	0.866431267
684	0.8663322958
685	0.8662108717
686	0.8661033302
687	0.8659742683
688	0.8659085352
689	0.865796631
690	0.8656621617
691	0.8655940616
692	0.8654965928
693	0.865299178
694	0.8652078463
695	0.8650691416
696	0.8649504891
697	0.8648786029
698	0.8647905495
699	0.8647302823
700	0.8645898529
701	0.8644088547
702	0.8642792413
703	0.864190042
704	0.8641292383
705	0.8640110673
706	0.8639428992
707	0.8638340514
708	0.8637267854
709	0.8636362371
710	0.8634857173
711	0.8634007937
712	0.863328782
713	0.8632430447
714	0.8631829821
715	0.8630578047
716	0.862894396
717	0.8627281535
718	0.8626325958
719	0.8625451476
720	0.8624473921
721	0.8623318535
722	0.8622312988
723	0.8621211324
724	0.862041276
725	0.8619374185
726	0.8618693971
727	0.8617447773
728	0.8616310678
729	0.8615092424
730	0.8613538068
731	0.8612274442
732	0.8611499277
733	0.8610327061
734	0.8609237699
735	0.860784545
736	0.8606619102
737	0.8605640868
738	0.8604536342
739	0.860377865
740	0.860282837
741	0.8602416712
742	0.8601636153
743	0.8600893531
744	0.8599777469
745	0.8599033986
746	0.8598206202
747	0.8596559334
748	0.8595689798
749	0.8594645461
750	0.8593400592
751	0.8592289503
752	0.8591300796
753	0.8590218634
754	0.8589561013
755	0.8588524489
756	0.8587508709
757	0.8586086223
758	0.8583994692
759	0.8582780987
760	0.8581483539
761	0.8581011459
762	0.85795907
763	0.8579017493
764	0.8578237611
765	0.8576818476
766	0.8575179654
767	0.8573976226
768	0.8573013588
769	0.8572142419
770	0.8570681656
771	0.856994138
772	0.8569169735
773	0.8567782319
774	0.8566211856
775	0.8564781841
776	0.8563705288
777	0.856285299
778	0.856200938
779	0.8561051575
780	0.855975686
781	0.8558881574
782	0.8557750431
783	0.8556704627
784	0.8555293433
785	0.8554260002
786	0.8553188547
787	0.8552342417
788	0.8551008628
789	0.8550036988
790	0.8548474128
791	0.8547522823
792	0.8546386006
793	0.8545655384
794	0.8545013334
795	0.8544340982
796	0.8543319318
797	0.8542439404
798	0.8541275668
799	0.8540007648
800	0.8538945925
801	0.8537236745
802	0.8535907474
803	0.8534949464
804	0.8533442777
805	0.8531917396
806	0.8530994134
807	0.8530949386
808	0.8530126303
809	0.8529389076
810	0.8528445571
811	0.8527621736
812	0.8526670765
813	0.8525405704
814	0.8524015937
815	0.8523085055
816	0.8522023014
817	0.8521069626
818	0.8519882145
819	0.8518786849
820	0.8518175451
821	0.8516920891
822	0.8516427528
823	0.8515547714
824	0.8513486158
825	0.8512693372
826	0.8511390183
827	0.8510431498
828	0.8509030512
829	0.8507864693
830	0.8506686702
831	0.8505602315
832	0.8505508276
833	0.8503791906
834	0.8502405981
835	0.8501809456
836	0.8500803211
837	0.849961832
838	0.8498563997
839	0.8497282288
840	0.849621112
841	0.8495770978
842	0.8494571559
843	0.8493359971
844	0.8492748364
845	0.8491626937
846	0.8490295379
847	0.8490252138
848	0.8489332605
849	0.8488389583
850	0.8487256547
851	0.8486321035
852	0.8485480087
853	0.8484342011
854	0.8483472984
855	0.8482151886
856	0.8481542487
857	0.8481045701
858	0.8480051265
859	0.847886274
860	0.8478016573
861	0.8477536885
862	0.8475978718
863	0.8475199297
864	0.8473987728
865	0.8473218513
866	0.8472265379
867	0.8470660019
868	0.8469527536
869	0.8468260274
870	0.8467116803
871	0.8465742095
872	0.8464651786
873	0.8464016624
874	0.8462433554
875	0.8461858651
876	0.8460775065
877	0.8460025459
878	0.8459035777
879	0.8457369861
880	0.845651086
881	0.8455827164
882	0.8454577776
883	0.8453828347
884	0.8452864273
885	0.8452130985
886	0.8450518259
887	0.8449165969
888	0.8448661489
889	0.844771675
890	0.8446668777
891	0.8445555675
892	0.8444328991
893	0.8442867451
894	0.8441313608
895	0.844059323
896	0.8439774101
897	0.8439048993
898	0.8437986452
899	0.8436724503
900	0.8435065341
901	0.8433554981
902	0.8432390108
903	0.8431460775
904	0.8430631838
905	0.8429431617
906	0.8428014182
907	0.8426650612
908	0.842614989
909	0.8425175983
910	0.8424002994
911	0.8422750037
912	0.8421460574
913	0.8420649962
914	0.8419831133
915	0.8418850377
916	0.8417747815
917	0.8416941433
918	0.8416346765
919	0.8415184
920	0.8414092492
921	0.841277957
922	0.8412166408
923	0.841070534
924	0.84096387
925	0.8408690048
926	0.8407981097
927	0.84068146
928	0.8405624692
929	0.8404341234
930	0.8403109602
931	0.8402103905
932	0.840150897
933	0.8400886807
934	0.840006349
935	0.8399404346
936	0.8398216396
937	0.8397323554
938	0.8396405511
939	0.8395489652
940	0.8394574918
941	0.8393651316
942	0.8393229584
943	0.8392720684
944	0.8391569728
945	0.8390884927
946	0.8389518035
947	0.8388411834
948	0.8387100366
949	0.8385839856
950	0.8384730013
951	0.8383327242
952	0.838282997
953	0.8381793189
954	0.8380675896
955	0.8379525177
956	0.8378441003
957	0.8377065407
958	0.8376275343
959	0.837549879
960	0.8374544914
961	0.8373497332
962	0.8372630712
963	0.8371083861
964	0.8369868849
965	0.8369147447
966	0.8367787349
967	0.8367271657
968	0.8366608386
969	0.8365341266
970	0.8364528512
971	0.8363256827
972	0.8362242391
973	0.8360905423
974	0.8360231333
975	0.8359070763
976	0.8358392221
977	0.8357628517
978	0.8356653727
979	0.8355546426
980	0.8354472961
981	0.8353472985
982	0.8352133394
983	0.8350514319
984	0.8349956296
985	0.8348820254
986	0.8347596877
987	0.8346860439
988	0.8346128439
989	0.8345438223
990	0.8344266773
991	0.8343240784
992	0.834229365
993	0.8341357829
994	0.8340303241
995	0.8339635341
996	0.8338145312
997	0.8337275133
998	0.8336224124
999	0.8335380807
1000	0.8334208368
1001	0.8333456642
1002	0.8332522225
1003	0.8331720199
1004	0.8330667994
1005	0.832971275
1006	0.8328857062
1007	0.8327236844
1008	0.832585385
1009	0.8324607752
1010	0.8323844809
1011	0.8322267663
1012	0.8321449186
1013	0.8320262753
1014	0.8319156343
1015	0.8317995967
1016	0.8316707318
1017	0.8315540134
1018	0.8314461531
1019	0.8313947859
1020	0.8313093144
1021	0.8312402018
1022	0.8311427399
1023	0.831090646
1024	0.8310489346
1025	0.8309209017
1026	0.8308372041
1027	0.8307435679
1028	0.8305907139
1029	0.83048744
1030	0.8304416138
1031	0.8303994635
1032	0.8303041241
1033	0.8301815296
1034	0.8300622836
1035	0.8299771446
1036	0.829968285
1037	0.8298697096
1038	0.8297584749
1039	0.8296685026
1040	0.8295881781
1041	0.8295311958
1042	0.82943326
1043	0.8293157266
1044	0.8291960128
1045	0.8290765644
1046	0.8289817917
1047	0.8289443841
1048	0.8288265132
1049	0.8287051076
1050	0.8286272901
1051	0.8285852787
1052	0.8284525532
1053	0.8283916717
1054	0.8283099397
1055	0.8281959978
1056	0.8280752541
1057	0.828019923
1058	0.8278878269
1059	0.827829734
1060	0.8277386349
1061	0.8276049128
1062	0.8275221114
1063	0.8274664169
1064	0.8273330342
1065	0.8271748195
1066	0.8270472036
1067	0.8269231734
1068	0.8268101606
1069	0.8267568292
1070	0.8266392507
1071	0.8265425378
1072	0.8264531594
1073	0.8263657273
1074	0.8262268708
1075	0.8261391784
1076	0.8260422948
1077	0.8259252888
1078	0.825772131
1079	0.8256671005
1080	0.8255747287
1081	0.8255039053
1082	0.8254205617
1083	0.8253431288
1084	0.825242972
1085	0.8251220748
1086	0.82500506
1087	0.824993871
1088	0.8249132626
1089	0.8248321666
1090	0.8247541286
1091	0.8246480907
1092	0.8245755325
1093	0.8244663617
1094	0.8243651027
1095	0.8242973349
1096	0.8242446081
1097	0.8241530113
1098	0.8240968899
1099	0.8239886629
1100	0.8239524582
1101	0.8238912672
1102	0.8237883501
1103	0.8236735704
1104	0.8235825223
1105	0.8235365377
1106	0.8234429892
1107	0.823356139
1108	0.8233467261
1109	0.8232703849
1110	0.8232071804
1111	0.8231092122
1112	0.8230242569
1113	0.8229518655
1114	0.8228783705
1115	0.8227584998
1116	0.822602727
1117	0.8225181998
1118	0.8224108184
1119	0.8223262307
1120	0.8222344016
1121	0.8221190209
1122	0.822061833
1123	0.8219867128
1124	0.8219213175
1125	0.8218503253
1126	0.8217761587
1127	0.8216774792
1128	0.8216033952
1129	0.8214576772
1130	0.8214160442
1131	0.8213123914
1132	0.8211753828
